<<<<<<< HEAD
,名称,创建日期,播放次数,收藏量,转发量,评论数,歌单长度,tag1
0,2000s放松听 | 寻找千禧年代的惬意悠然,2023-06-09,65420,338,1,1,60,nan nan nan
1,2000s HipHop | 重温说唱巅峰时代,2023-03-29,257958,2830,34,8,70,nan nan nan
2,2000s Trip | 千禧年的海风与热浪,2023-06-26,37411,662,4,2,59,nan nan nan
3,重返2006 | 从方大同开始探索精彩2006,2021-07-06,812417,8514,27,9,107,nan nan nan
4,千禧粤语热播 | 青春里的粤语经典,2021-04-06,9264985,55686,462,221,105,nan nan nan
5,Sad 2000s | 千禧年代的心碎点滴,2023-05-16,220962,1303,19,5,60,nan nan nan
6,2000s宝岛热播 | 和张惠妹一起重返精彩千禧年代,2025-04-20,232198,1235,9,2,265,nan nan nan
7,重返2005 | 跟随王蓉《哎呀》进入2005,2021-07-06,1219230,8766,30,16,110,nan nan nan
8,2000s华语民谣 | 听时光回溯岁月之声,2023-10-08,968489,3142,17,9,49,nan nan nan
9,2000s Folk | 回到新千年的民谣世界,2023-10-11,133187,586,15,4,79,nan nan nan
10,2000s华语摇滚 | 在青春与自由的土地上肆意生长,2023-10-17,573060,2414,11,3,71,nan nan nan
11,2000s华语R&B | 重回华语R&B豆蔻年华,2023-10-12,1169014,11277,78,10,45,nan nan nan
12,重返2009 | 萧敬腾蔡健雅等2009经典等你来听,2021-07-06,727669,5898,27,11,108,nan nan nan
13,2000s Jazz | 感受千禧年的爵士变革,2023-07-07,25123,333,2,2,60,nan nan nan
14,日语动漫旋律 | 追寻00年代二次元动漫旋律,2023-09-20,26466,3361,1,3,30,nan nan nan
15,曼波~（哈基米活全家音乐）,2025-10-07,11405,209,10,3,94,流行 快乐 00后
16,00年代华语民谣 | 感受00年代的民谣风向,2023-09-25,13454,119,2,1,30,nan nan nan
17,曼波～哈基米南北绿豆：这便是哈的皇朝,2025-10-15,28667,354,48,6,103,流行 网络歌曲 00后
18,曼波～哈基米南北绿豆：这便是哈的皇朝,2025-10-17,41322,824,84,13,101,流行 网络歌曲 00后
19,曼波～（哈基米活全家音乐）,2025-10-06,926,13,3,1,94,流行 快乐 00后
20,人生本就是一场相遇一场离别,2025-10-15,37387,596,7,2,79,兴奋 网络歌曲 00后
21,哈基米の曼波魔性循环小曲合集,2025-10-01,977,13,1,1,79,流行 快乐 00后
22,哈基米南北绿豆：这便是哈的皇朝,2025-10-17,38395,566,88,9,109,快乐 网络歌曲 00后
23,哈基米南北绿豆：这便是哈的皇朝,2025-10-18,679,10,1,1,106,快乐 网络歌曲 00后
24,曼波～（哈基米活全家音乐）,2025-10-02,1876,30,3,3,82,流行 快乐 00后
25,曼波～哈基米南北绿豆：这便是哈的皇朝,2025-10-24,110,4,4,1,98,流行 00后 快乐
26,燃向『写作业/刷题/学习』可以听的歌曲,2022-09-17,63607,1113,10,9,97,学习 放松 00后
27,哈基米南北绿豆：这便是哈的皇朝,2025-10-17,3669,55,8,1,108,快乐 网络歌曲 00后
28,丢了那把破伞才发现根本没雨,2025-10-12,65665,1056,19,6,176,流行 兴奋 00后
29,我的梦里吹来了一阵风,2025-06-25,79076,1627,11,5,66,安静 学习 00后
30,「瞬间沉醉的旋律」,2025-04-25,115721,782,9,4,41,感动 00后 放松
31,哈基米南北绿豆曼波～精选,2025-10-20,138947,2722,175,19,124,流行 00后 网络歌曲
32,哈基米南北绿豆：这便是哈的,2025-10-17,3123,38,17,3,121,快乐 网络歌曲 00后
33,哈其米南北绿豆曼波～精选,2025-10-20,26362,591,66,5,123,流行 网络歌曲 00后
34,流行进行曲·快乐时光拼凑浪漫乐符,2017-04-18,2619336,5146,109,11,153,浪漫 00后 流行
35,哈基米南北绿豆（精选）,2025-10-15,33875,305,15,4,42,流行 网络歌曲 00后
36,哈基米哦南北绿豆：这便是哈基米宇宙,2025-10-02,3165,64,11,3,122,网络歌曲 00后 nan
37,哈基米南北绿豆： 这便是哈的,2025-10-08,10897,201,23,3,124,流行 网络歌曲 00后
38,曼波~（哈基米活全家音乐）,2025-10-08,359,10,2,1,94,流行 快乐 00后
39,哈基米の曼波魔性循环小曲合集,2025-09-18,69151,1104,44,5,82,流行 快乐 00后
40,【新中式R&B】如林中清泉 仙气入耳 ,2024-09-12,60802,1221,34,13,189,R&B/Soul 古风 00后
41,不做低端感情里面的福尔摩斯,2022-05-23,1922571,8974,149,55,192,网络歌曲 00后 酒吧
42,在转角在咖啡馆 微笑替我诉说思念,2025-06-20,135227,764,2,1,157,华语 翻唱 00后
43,唯此间江湖年少 偏爱纵横天下,2020-01-18,473699,6122,62,27,65,华语 00后 流行
44,华语丨音乐是一片秋叶，撩人乡思,2018-10-04,949669,2806,65,91,287,流行 华语 00后
45,动画片主题曲大全 | 治愈00后童年美好回忆,2025-08-26,50869,237,8,1,113,流行 怀旧 00后
46,痛过了心扉 不再沉溺于回忆,2025-07-11,149093,620,1,12,201,流行 00后 伤感
47,未说的解释・藏进轻描淡写的旋律,2025-09-02,51965,620,6,2,93,流行 00后 nan
48,我已经看完了我们的结局 最终章,2020-04-25,72801,1802,29,17,797,轻音乐 ACG 00后
49,韩语kpop（娃墨吒鲸兔毛芙击）,2023-08-26,270978,2035,15,18,257,韩语 00后 流行
50,别把青春困在爱里 你我永远潇洒自由,2020-06-21,219629,936,10,4,253,伤感 放松 00后
51,缘分没用尽的时候 会用梦来还,2024-07-11,12140,20,5,1,105,华语 思念 00后
52,今天你恶龙了吗,2022-10-02,2520928,28874,1077,1113,125,欧美 另类/独立 00后
53,芙蓉王扁 （瑞克五代顶针 ）,2025-09-06,16378,61,7,5,75,00后 翻唱 nan
54,『粤语』可惜Ta不懂粤语更不懂beyond,2022-05-12,1020064,3930,65,22,67,粤语 90后 00后
55,我的心可不冷，但你捂不热.,2019-01-05,1168804,6982,73,46,267,00后 流行 治愈
56,曾经的故事已落幕，爱意仍在心间,2025-06-20,194529,706,5,1,81,治愈 00后 nan
57,在我的记忆里 你也曾说害怕失去我,2025-04-02,310513,1109,33,13,184,伤感 00后 夜晚
58,梦幻婚礼的经典旋律（不断添加）,2025-09-02,168374,432,25,1,136,流行 舞曲 00后
59,很想你跟我走 但我更想你愿意,2021-10-26,541084,1709,53,13,219,00后 华语 流行
60,听三千遍歌能找到自己嘛,2022-01-26,98295,223,6,7,21,00后 安静 夜晚
61,孤高之人高能BGM （独攀小曲）,2025-02-20,286409,1209,19,8,79,流行 00后 nan
62,伤感丨为爱喝死不是罪,2017-02-04,1350556,2167,44,2,420,流行 华语 00后
63,米津玄師全收录（倒序，持续更新，无重复）,2019-05-29,115129,3635,28,42,143,日语 00后 流行
64,夜晚丨无法入睡陪伴你,2019-01-11,908609,5518,154,98,324,流行 华语 00后
65,雄鹰再次展翅飞 我必剥夺你辉煌,2025-06-28,45144,163,3,2,229,流行 00后 网络歌曲
66,听不快不慢的歌 想不远不近的人,2021-03-17,1542553,5949,104,55,136,思念 00后 nan
67,『网络精选』听一首把自己感动的歌,2023-08-12,33124,80,4,1,227,华语 流行 00后
68,我停止了主动 你又能记住我多久,2024-09-21,22061,206,15,18,498,流行 华语 00后
69,ヰ世界情緒 (异世界情緒),2023-08-26,49336,1405,7,12,226,日语 00后 nan
70,永远跟心走 心说跟你走,2023-05-27,35488,159,5,1,216,00后 流行 思念
71,戴上耳机以自己为中心,2024-11-30,63889,616,9,10,83,流行 散步 00后
72,破碎就像是一場無法醒來的夢境.,2025-01-11,12565,35,4,1,202,流行 伤感 00后
73,若能放下过往，也许已然快乐,2025-06-25,152664,1712,13,7,32,00后 华语 流行
74,流媒体热播-BGM旋律合集,2025-08-01,242875,1326,3,1,147,网络歌曲 00后 nan
75,爱已化作悲鸣的音符,2023-07-13,758438,3551,87,41,258,思念 00后 怀旧
76,不是说她是你挚爱吗 怎么分了,2024-01-01,343168,1876,37,456,175,伤感 00后 网络歌曲
77,慢热丨会让你沉静在其中,2017-02-06,338934,505,18,1,451,华语 00后 清新
78,时代少年团即出道到现在全部团歌,2024-04-20,93478,2529,60,33,39,流行 治愈 00后
79,旋律 天道又如何 那便战吧,2024-09-16,255614,1248,30,8,147,流行 驾车 00后
80,越是没有武器 越要变得强大,2019-01-12,5738718,40590,1360,264,233,游戏 00后 榜单
81,别因为一时冲动，而忘记对方的好,2023-12-09,93919,390,15,1,71,华语 伤感 00后
