用户名,用户城市,评论内容,点赞数,评论时间,情感得分
我杀了过去的我,上海,我喝多了 我会做到的,21,2025-11-16 22:07:46,0.4129320107780632
InOvOr4GiFtU,广东,神临,2,2025-11-16 23:25:57,0.5
maksomnoi,河北,我想要一只澜,2,2025-11-16 23:05:15,0.44187699798370783
-s-h-a-d-y,广东,一闪一闪亮晶晶,1,2025-11-17 00:45:05,0.16849244223532023
A2shineyah_,山东,两个美国人,1,2025-11-16 23:17:56,0.7566216315357724
1one2xy,广东,🐈‍⬛,1,2025-11-16 22:42:32,0.5
Youyo-l,广西,你会做到的,0,2025-11-17 01:09:17,0.5539033457249072
煎煎煎锅,福建,🥹克兰,0,2025-11-17 00:21:24,0.4737672181921908
L33yY,广东,[心动]Crane,0,2025-11-16 23:29:14,0.7928008122563747
唉爱癌碍,重庆,做到再说,0,2025-11-16 23:02:59,0.5262327818078083
7Khkx7,江西,你会做到的,0,2025-11-16 22:56:52,0.5539033457249072
鱿鱼孜然卷,湖南,huo,0,2025-11-16 22:44:40,0.5
Myrtles_茉染,江苏,会做到的,0,2025-11-16 22:40:27,0.5539033457249072
小oEL,江苏,你会做到的,0,2025-11-16 22:29:55,0.5539033457249072
冬日柏餅,中国台湾,你会做到的,0,2025-11-16 22:28:49,0.5539033457249072
lil_Fishyty,山东,Run it up,0,2025-11-16 22:28:23,0.5
奥卡躺一下,上海,好,0,2025-11-16 22:21:49,0.6558628208940429
王百万Millions,北京,好听惨,0,2025-11-16 22:19:49,0.4737672181921917
u1t1m8SHXT,黑龙江,我允许了,0,2025-11-16 22:17:52,0.5262327818078083
Celeste_251923,四川,克蘭&wanna🔥🔥🔥🔥,0,2025-11-16 22:17:32,0.7783854000859194
Celeste_251923,四川,我爽听,0,2025-11-16 22:17:15,0.5644472467922722
wppi_sweet0,上海,这杯敬wanna🍺,0,2025-11-16 22:15:26,0.73374758656285
欧得坏,广东,来了兄弟,0,2025-11-16 22:11:44,0.352941176470588
Soulosp,吉林,老公,0,2025-11-16 22:11:42,0.6786715525832804
-Dopesniper-,中国,越来越好,0,2025-11-16 22:11:40,0.710558063868939
椰子水Y-e,天津,会做到的,0,2025-11-16 22:11:39,0.5539033457249072
