用户名,用户城市,评论内容,点赞数,评论时间,情感得分
可食用貓餅_,湖北,神：你以后就是术力口的王了 你：那deco呢？ 神：deco，好久没有人这么叫我了,3052,2025-11-08 11:41:53,0.793836662819407
悟至夏栖,贵州,隔壁匹：爱是利用 爱是毒药 爹扣：我好喜欢你,2681,2025-11-08 10:46:01,0.9961979807015804
Hi我们又见面啦,河北,《棉花糖》与火花对应， 那么这首对应的应该是九年前的《Liar Dance》吧。。 画师都是八三，且动作一致，风格也有以前的味道。 整整九年画师和P主都变化很大呢，这么说deco以后是不是还会再投这种相对应的曲子呢？ 顺带一提我是第一哦！无论评论还是红心都是第一！（可能存在重复点击的第一）,1873,2025-11-08 00:02:18,0.8552886907903051
Ricky初一牲小琦,江苏,DECO知道你要期中考试 特意发了一首新歌给你加油呢 快说谢谢DECO！,1754,2025-11-08 07:47:17,0.9989626300140381
-Romancing,河北,现在的赞是初音未来诶,1538,2025-11-15 19:13:32,0.8081690933590572
镜音林-,浙江,发现了一个很妙的地方，好き好き好き好き好き好き听着也像kiss kiss kiss kiss kiss kiss，唱的时候连起来似乎是有这样的意味呢[爱心],1277,2025-11-08 11:51:51,0.9944445847640475
泪泉汩汩,北京,老匹刚失恋，deco又失恋了是怎么回事🤨,1047,2025-11-08 13:20:34,0.7240980624975967
你总那样冷漠,福建,想要徽章 点这条你cp金婚[爱心],1022,2025-11-09 19:00:20,0.897103229230279
Reta1n_,贵州,我看这德匹也是对苦命鸳鸯,527,2025-11-10 22:51:00,0.5096600479767603
斯拉夫_ovo,内蒙古,中间那一段suki一直在幻听kiss。。感觉莫名有深意呢,454,2025-11-08 11:55:32,0.9736812189474635
锦月aaa,山东,我仅用了0.000001秒就猜中了术力口周榜第一是谁，你也来试试吧（）,403,2025-11-08 14:51:56,0.9318987358756637
一只上学的浣熊,上海,此时一群术术人，从某粉色电视到了某红色蚊香,363,2025-11-08 13:03:33,0.6600633030242857
星野术术人,湖北,快躺下，再过两天我们就是古人力（喜,323,2025-11-08 19:33:58,0.7601782847897304
無事發泩,广东,他俩指定有染🤓☝（并不是）,315,2025-11-09 19:51:09,0.6061969863806911
-丧o,山东,小彩蛋：在评论区给别的评论点赞会有Miku特效,312,2025-11-18 20:18:19,0.7445616880865958
五月雨雾-,江苏,不敢想这首上了音游有多难👩🏾‍🦱,6,2025-11-23 08:24:36,0.21693426465422194
红白好困,福建,互相分手了😋,2,2025-11-23 11:14:55,0.6923786120385603
机绿萌,海南,我有一计，这首写成音游谱子[大笑][强],2,2025-11-23 08:08:33,0.6756386178516784
一天一定要满睡25个小时,安徽,想要徽章 点这条你cp金婚,1,2025-11-23 12:35:39,0.6274452452162754
鹊茉,四川,我宣布DECO*27是世界上最帅的男人[强],1,2025-11-23 12:34:46,0.9782200684835434
红白好困,福建,跟匹诺曹分手伤感了,1,2025-11-23 11:14:35,0.9988200382375848
骨遮,浙江,德匹99（触雷对不起。我只是个破吃饭的）,1,2025-11-23 10:52:42,0.2560920565573681
静冰纪,浙江,我真不行了，这两个人真是一对苦命鸳鸯啊🌚,1,2025-11-23 10:01:30,0.18875981718058832
尘霞棠,山东,你牛大了😨,0,2025-11-23 12:25:01,0.4737672181921908
Ironicseverity,福建,赞，会变成公主殿下哎[心动],0,2025-11-23 12:15:42,0.9646501961017938
幻想著你愛著我,广东,我们共听过几曲？[可爱],0,2025-11-23 12:01:25,0.7893475191066776
枫枫缘缘子,河南,为了看初音未来把评论区全赞了一遍☺️,0,2025-11-23 11:22:25,0.9315641529191925
音Sprunki,湖北,是金曲,0,2025-11-23 11:05:49,0.5
BayuanlI,湖北,好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き,0,2025-11-23 11:00:25,0.999999999995802
某羊and某羊,上海,想你了wowaka老师[多多大哭],0,2025-11-23 10:53:06,0.9720518454561943
某羊and某羊,上海,躺,0,2025-11-23 10:51:09,0.4767441860465115
某羊and某羊,上海,躺[大笑],0,2025-11-23 10:50:51,0.6327004491495483
某羊and某羊,上海,打破2899赞[惊恐],0,2025-11-23 10:47:45,0.993234292818776
某羊and某羊,上海,躺[强][强][强],0,2025-11-23 10:47:14,0.8305885822862618
和服扮相,湖北,好き　好き　好き　好き　好き　好き  好き　好き　好き　好き　好き　好き  好き　好き　好き　好き　好き　好き  好き　好き　好き　好き　好き　好き  好き　好き　好き　好き　好き　好き  好き　好き　好き　好き　好き　好き 好き　好き　好き　好き　好き　好き 好き　好き　好き　好き　好き　好き  好き　好き　好き　好き　好き　好き,0,2025-11-23 10:41:24,0.9999999999429596
30分钟椿,江苏,躺[强][强][强],0,2025-11-23 10:34:47,0.8305885822862618
年华是无效信1717,山东,躺[强][强][强],0,2025-11-23 08:35:23,0.8305885822862618
窝不要画无偿了T-T,山东,我觉得像蝴蝶,0,2025-11-23 08:27:00,0.764705882352941
绝对_IaFU,江西,躺,0,2025-11-23 08:23:28,0.4767441860465115
浟誰,江西,deco好帅,0,2025-11-23 08:19:14,0.4737672181921908
