歌曲ID,歌曲名称,歌手,抓取时间,评论总数,积极评论数,消极评论数,中立评论数,积极评论占比,消极评论占比,中立评论占比,高频字眼,最高点赞量,平均点赞量,Top1评论预览,Top1点赞数
2758289151,冬与你,万乐体/鱼骨妹,2025-11-23 16:31:44,56,43,6,7,0.7679,0.1071,0.125,一起，永远，chy，lhy，冬天,5385,467.8,我想要徽章可以随手点一个吗[泪目][泪目]...,5385
3312557251,Black Veil Bride,Rosy赵露思,2025-11-23 16:32:36,410,207,93,110,0.5049,0.2268,0.2683,好听，一辈子，赵露，思唱，赵露思,21978,238.3,赵露思有着一种黑色生命力，你越是打压，她越是能牢牢把握住每一次机会绝处逢生，希望大家她不止看到她提柔...,21978
2738731694,never meant to hurt you,Demxntia,2025-11-23 16:32:46,40,24,12,4,0.6,0.3,0.1,徽章，抖音，to，you，想要,3441,356.6,亲密关系里尺度最大的，是面对面掉眼泪。...,3441
3312166764,我是一只鱼,梓渝,2025-11-23 16:35:04,1012,629,220,163,0.6215,0.2174,0.1611,一只，潮汐，温柔，需要，深海,62893,620.1,🌽⚡️🌙栩要你🥺🤗我是一只渝🌟🐟🥰～...,62893
2759426653,跟悲伤结了帐,Gareth.T/揽佬SKAI ISYOURGOD,2025-11-23 16:35:22,116,56,32,28,0.4828,0.2759,0.2414,难听，好好，好听，感觉，Gareth,38035,1678.2,Gareth T你再敢和揽佬混一块我就把你书包扒了...,38035
3315586072,平庸 (Live),薛之谦,2025-11-23 16:36:40,624,413,109,102,0.6619,0.1747,0.1635,好听，世界，喜欢，平庸，自己,2689,19.4,《顽疾》是深陷其中无法自拔.. 《湖泊》是坠入深渊垂死挣扎.. 而《平庸》是逐渐释怀慢慢放下.....,2689
2758538358,冷空气,Zzh/赋生,2025-11-23 16:36:50,40,26,7,7,0.65,0.175,0.175,冷空气，离别，重量，直到，爆笑,379,44.1,我不懂离别的重量 直到冷空气裹挟着回忆涌入...,379
3319722018,废话文学,郑润泽,2025-11-23 16:37:00,48,29,12,7,0.6042,0.25,0.1458,废话，文学，好听，好不好，润泽,1812,94.2,四巡唱这首歌好不好...,1812
3316968660,昔涟,张韶涵/HOYO-MiX,2025-11-23 16:37:10,55,27,17,11,0.4909,0.3091,0.2,昔涟，关联，明天，好吃，像是,5392,558.6,另外，新的节奏若要带起，它的脑子需是死的，各位玩家务必远离节奏，自己全身心享受故事，以爱笑对人生[超...,5392
3317235944,her (feat. Annika Wells),JVKE/Annika Wells,2025-11-23 16:37:19,40,29,4,7,0.725,0.1,0.175,自己，好听，感觉，妻子，原曲,567,60.3,her的tik tok合唱挑战中排名第一的annika wells小姐姐是著名的独立singer- ...,567
3319196036,失重(路过的街角 熟悉的咖啡),Prime,2025-11-23 16:37:28,40,22,7,11,0.55,0.175,0.275,好听，前面，真的，感觉，路过,992,115.8,这个赞好高级，居然是小蛋糕耶🤪🤪...,992
3320401411,装货 (Live),欧阳娜娜/薛之谦,2025-11-23 16:37:47,117,87,22,8,0.7436,0.188,0.0684,..，自己，薛之谦，装货，好听,715,14.8,回头看看 其实9年制义务教育里 最重要的一本是 思想品德 有点薄有点难 你不背我不配 谁也别怪谁  ...,715
3319817890,身无居所,Vansdaddy/王以太,2025-11-23 16:37:57,40,23,11,6,0.575,0.275,0.15,以太，vd，出来，不同，黄之仪,1131,72.7,我哥太爱我了...,1131
