用户名,用户城市,评论内容,点赞数,评论时间,情感得分
我好爱柠檬茶啊,江苏,我觉得这首歌应该适合所有细腻，敏感的人，不敢直白的自己的情感，天天猜着对方的内心，想确定对方的心意，天天自以为“聪明”的隐藏自己的情绪，永远不敢表达自己的想法，因为没有把握吧，因为没感受到爱吧，因为怕自己的真心给错了人。这才是“我喜欢你时的内心活动”。,136447,2023-06-19 23:13:02,0.9999999596263357
喝一口鲨鱼汤,广西,《太聪明》不是任何星座任何人格的歌  是每个内心细腻柔和的人的心声,75751,2023-05-24 11:48:35,0.986719595843657
笨蛋也是错吗,江西,谢谢你 小手机 除了你都没人跟我玩,64265,2024-07-19 22:11:39,0.2794265456349887
ELcarough,,这才是“我喜欢上你时的内心活动”。,57336,2018-08-07 07:16:49,0.8793377941942807
呆呆0810-H,云南,爸，我讨厌你的教育方式和封建思想，但是我也心疼你在外面累死累活的模样,50023,2023-11-03 20:52:42,0.9456891819103224
Estrellangel,江西,嘴上说着翻篇，其实心里偷偷折了个角,46668,2023-07-21 11:22:38,0.6845663182093653
陈年老果酱,,infp国国歌（我自己封的）,43325,2022-05-21 11:14:43,0.35920467163437375
张卂,,怕他知道，怕他不知道，怕他装作不知道,30583,2015-10-24 09:10:21,0.034656547273159144
漫漫16春,浙江,其实我幸福的时候不怎么听歌,21220,2024-02-06 01:36:57,0.9445892171903929
灵魂癖主义者Echo,,给每一个爱里的笨蛋[爱心],20950,2014-12-21 15:12:56,0.9447708662654568
请包容我的无理,河南,以前很讨厌妈妈拿手机拍我 讨厌她拍视频 总是录我 每次都大声指责她 不要拍我了 每次都很尴尬的笑说 拍一下怎么啦 最后才发现 只有妈妈会举起手机记录我,20827,2024-07-06 14:12:33,0.9617994286114785
安陌ly,广东,其实早睡两个小时并不会错过什么消息,19832,2023-08-16 05:38:26,0.06555373579015489
想你的离,山东,拧巴的人 需要一个赶也赶不走的人,19353,2024-01-26 23:25:24,0.4646603385258008
狄戈_-,,我的室友T和一个男生暧昧了一个多月 但两个人都没有提出再进一步的请求 今天T过生日 室友C撺掇那个男生向T表白 但那个男生摇摇头拒绝了  于是C问出了那句  “要是你在书店读完了一本杂志，还会买回家吗？”  我仔细想了想 我大概还是会买回家的 新鲜感虽然没了 但我喜欢的并不是新鲜感 而是杂志本身,18519,2021-01-28 10:38:49,0.5220696577172455
你的莫奈,山东,别emo了，祝我生日快乐，多迟都可以,17247,2024-08-01 07:10:53,0.9860052171811565
晴雏_,贵州,他总说我不好 但是他一直都在包容我,2,2025-11-23 10:48:51,0.4366688992571952
我家题库三天夸夸不同来不来,吉林,太怀念了 那个时候我们天天见.,2,2025-11-23 10:28:07,0.6450759930668111
童熙眼里有星星QWQ,福建,好！,1,2025-11-23 13:55:19,0.6558628208940429
有鑫则灵Ouo,辽宁,w同学 我总把你不经意的一暼当做对视,1,2025-11-23 13:05:08,0.7242007978108508
paaiiii,广西,C同学 比起你的脸 我更熟悉你的背影和鞋子,1,2025-11-23 12:50:07,0.8774520864092332
Komorebi_white,陕西,太聪明,1,2025-11-23 10:47:11,0.4794987676578415
世一助KK,广东,我会义无反顾撞南墙，没人能劝服我，除了你🥲,1,2025-11-23 10:36:15,0.8674497366587732
如果当时A7,广西,太聪明,1,2025-11-23 08:34:59,0.4794987676578415
以泪诉说相思_,海南,智,0,2025-11-23 14:50:28,0.56
茶卡_4eiL,山东,好,0,2025-11-23 14:47:39,0.6558628208940429
沕宠恋,河南,天天开心,0,2025-11-23 14:29:26,0.8834014393042217
沕宠恋,河南,好,0,2025-11-23 14:29:16,0.6558628208940429
糖心张先生2778,江苏,生日快乐兄弟👬,0,2025-11-23 14:27:05,0.9151800195782749
巴黎夏季约定,广东,都要幸福好不好,0,2025-11-23 14:14:51,0.9494672414711668
小明小明小小明-,湖北,在一起了没！,0,2025-11-23 14:05:03,0.35387860323412235
入冬的hao鱼,山东,总以为谜一般难懂的我,0,2025-11-23 14:03:05,0.9648642992030403
痛以为常,中国,我猜着你的心 要再一次确定,0,2025-11-23 13:59:41,0.7419508161534697
失败heartbroken,广东,"""外婆，只是去一个很远的地方了""",0,2025-11-23 13:58:20,0.8715736466885283
童熙眼里有星星QWQ,福建,生日快乐！,0,2025-11-23 13:55:08,0.9606373884526408
童熙眼里有星星QWQ,福建,好,0,2025-11-23 13:54:38,0.6558628208940429
-韩樰-,山东,兄弟生日快乐,0,2025-11-23 13:46:19,0.9229853160423791
zzh爱睡觉,广东,在一起了吗,0,2025-11-23 13:39:36,0.5262327818078083
zzh爱睡觉,广东,天天开心,0,2025-11-23 13:39:03,0.8834014393042217
于冬6,江苏,生日快乐,0,2025-11-23 13:38:11,0.9606373884526408
露露的芋泥,安徽,天天开心,0,2025-11-23 13:36:44,0.8834014393042217
露露的芋泥,安徽,生日快乐,0,2025-11-23 13:36:32,0.9606373884526408
eaoneY,广东,我喜欢上你时的内心活动,0,2025-11-23 13:33:56,0.9383257650648301
