歌曲ID,歌曲名称,歌手,抓取时间,评论总数,积极评论数,消极评论数,中立评论数,积极评论占比,消极评论占比,中立评论占比,高频字眼,最高点赞量,平均点赞量,Top1评论预览,Top1点赞数
1842728629,如果呢,郑润泽,2025-11-23 15:08:12,365,231,56,78,0.6329,0.1534,0.2137,如果，喜欢，幸福，没有，时候,278884,3136.3,我得胃癌了  我没有开玩笑 六月的时候就确诊了  我有一个小朋友 我没有告诉他我已经晚期了  我好喜...,278884
2600493765,恋人,李荣浩,2025-11-23 15:08:35,74,53,10,11,0.7162,0.1351,0.1486,我爱你，喜欢，恋人，间奏，幸福,68225,5773.3,“凶手和恋人都喜欢事后回现场。”...,68225
1403318151,把回忆拼好给你,王贰浪,2025-11-23 15:09:57,385,215,57,113,0.5584,0.1481,0.2935,现在，喜欢，没有，回忆，还是,432551,3901.8,希望你是回忆里 那个永远不长胖的人～...,432551
1303464858,于是,郑润泽,2025-11-23 15:11:56,504,343,74,87,0.6806,0.1468,0.1726,天天开心，幸福，喜欢，没有，自己,128375,1868.0,雨一直下，风也冷冷的。听郑润泽《于是》，“窗外下着雨，房间里依然很冷清”，唱出了我的心。那些没讲完的...,128375
1456890009,罗生门（Follow）,梨冻紧/Wiz_H张子豪,2025-11-23 15:13:15,311,198,50,63,0.6367,0.1608,0.2026,罗生门，喜欢，幸福，没有，自己,400536,4833.8,希望大家可以看到所有事物美好的一面，不管是生活、爱情、友情。 [语音]...,400536
1406083061,你,郑润泽,2025-11-23 15:14:02,210,145,19,46,0.6905,0.0905,0.219,天天开心，如果，喜欢，没有，幸福,162141,3119.6,你不是恋爱脑 你只是比较认真 你会幸福的...,162141
1410633323,到时说爱我,茜拉,2025-11-23 15:14:13,40,25,12,3,0.625,0.3,0.075,方大同，喜欢，一些，露露，朋友,22903,3739.4,时间会证明方大同的先进性...,22903
1301736461,爱错,王力宏,2025-11-23 15:14:31,81,54,9,18,0.6667,0.1111,0.2222,小雨，爱错，因为，不是，喜欢,171918,6098.0,这首歌爱错的意思：不是爱错了一个人。而是碰到了对的人，却因为太爱而不知所措，用了错误的方式（互相较量...,171918
1420706073,离开我的依赖,王艳薇,2025-11-23 15:14:40,53,28,12,13,0.5283,0.2264,0.2453,晚安，小忍，母亲，哭哭，时候,94252,5338.3,相信这首歌一定会有大爆的时候...,94252
2083785152,唯一,G.E.M.邓紫棋,2025-11-23 15:15:17,207,113,32,62,0.5459,0.1546,0.2995,唯一，自己，永远，喜欢，幸福,120427,3300.1,“因为感觉不到爱，所以做了先逃跑的人。”...,120427
2163210456,两 难,加木,2025-11-23 15:15:31,84,44,16,24,0.5238,0.1905,0.2857,自己，ZZZ，脾气，不是，意见,57735,5199.6,鼓起勇气把霸凌我的人告了[可爱]...,57735
2740858325,Star Crossing Night (feat. GALI),徐明浩/GALI,2025-11-23 15:15:41,40,29,4,7,0.725,0.1,0.175,徐明浩，好听，天天开心，真的，魅一笑,43032,6718.4,咋这么好听… 之前抖音上火的歌感觉只有那一段好听 但这首从头到尾都好听...,43032
1391891631,嗜好,颜人中,2025-11-23 15:16:03,141,103,19,19,0.7305,0.1348,0.1348,天天开心，喜欢，时候，没有，嗜好,120791,3678.8,我想你不知道我的嗜好，那你就看这句话的前三个字就好。 希望这首《嗜好》你们会喜欢[多多可怜]（评论区...,120791
31654343,不将就,李荣浩,2025-11-23 15:16:32,149,89,26,34,0.5973,0.1745,0.2282,就是，如果，幸福，始终认为，不爱,209637,6149.7,我真不知道排名第一的那个评论是怎么上去的！...,209637
1926623288,小胡同,郑润泽,2025-11-23 15:34:06,209,124,27,58,0.5933,0.1292,0.2775,好不好，喜欢，就是，胡同，自己,104145,2544.8,我来啦...,104145
287063,我怀念的,孙燕姿,2025-11-23 15:34:38,234,151,26,57,0.6453,0.1111,0.2436,怀念，没有，幸福，真的，一起,373252,5664.0,我怀念的是我爷爷还在的时候...,373252
233888,爱情讯息,郭静,2025-11-23 15:34:54,81,60,6,15,0.7407,0.0741,0.1852,天天开心，爱情，幸福，可爱，因为,90489,5268.6,华语乐坛还有很多挖不完的遗珠🥹...,90489
28403111,特别的人,方大同,2025-11-23 15:35:47,412,245,63,104,0.5947,0.1529,0.2524,晚安，特别，大同，幸福，一起,224488,3454.6,我每次都把那句“我们是对方，特别的人”听成“我们吃的饭，特别的热”[大哭][大哭]...,224488
2755710644,左转灯 (1000 Times +1),派伟俊/mac ova seas,2025-11-23 15:35:57,40,19,9,12,0.475,0.225,0.3,感觉，赞好，高级，居然，蛋糕,28972,2987.4,支持换回原名的右边👉🏻...,28972
1827600686,还是会想你,林达浪/h3R3,2025-11-23 15:36:37,305,188,60,57,0.6164,0.1967,0.1869,喜欢，还是，没有，天天开心，不会,447356,5805.2,“既不能断干净又不能和好如初的关系最难受”...,447356
1359356908,晚安,颜人中,2025-11-23 15:37:10,236,172,22,42,0.7288,0.0932,0.178,晚安，没有，喜欢，第一次，幸福,441907,7569.7,大家好，我是顏人中，身高185，體重一個月之內會降到80kg !  這是我的第一隻個人單曲，謝謝大家...,441907
1398283847,我只能离开,颜人中,2025-11-23 15:37:30,133,88,25,20,0.6617,0.188,0.1504,加油，自己，没有，已经，不是,133374,5067.6,我唱这首歌时脑中一直浮现我在一场大雨中奔跑着的画面，泪水雨水分不清，嘴里一直喊着不知道的哪个她的名字...,133374
2040015902,熄灭,TC,2025-11-23 15:37:41,40,28,8,4,0.7,0.2,0.1,有人，熄灭，加油，沉香，两粒,34093,4696.1,“忘记一个人是先忘记声音还是面容？” “缺点。”...,34093
27955654,其实,薛之谦,2025-11-23 15:38:03,154,100,19,35,0.6494,0.1234,0.2273,天天开心，幸福，其实，喜欢，不能,220578,6824.3,那年夏天，因为一些事吵得很凶，分手，删了一切却始终想知道她最近怎么样，好还是坏，后来，我在她的红心找...,220578
529668356,你要的全拿走,胡彦斌,2025-11-23 15:38:27,157,89,37,31,0.5669,0.2357,0.1975,两不相，幸福，一起，真的，喜欢,290694,8618.5,副歌太惊艳了，骤然加快的节奏迅速击中我心，特别是后面语速极快的几个连音（虽然我学不会），技巧性太高，...,290694
1400259397,有我呢,郭一凡,2025-11-23 15:38:44,104,68,8,28,0.6538,0.0769,0.2692,幸福，自己，永远，大笑，喜欢,98431,4801.4,每一次听这首歌 都感觉在自己哄自己...,98431
2712265619,打火机,Penny,2025-11-23 15:38:54,48,30,10,8,0.625,0.2083,0.1667,喜欢，生日快乐，歌词，朋友，如果,60037,4349.8,2025听打火机的人幸福一辈子...,60037
1406649619,有些,颜人中,2025-11-23 15:39:08,95,48,7,40,0.5053,0.0737,0.4211,想要，喜欢，流泪，幸福，我要,122062,5341.3,他更新一条动态 你就好像在做阅读理解...,122062
2015896805,浆果,TINY7,2025-11-23 15:39:19,56,33,10,13,0.5893,0.1786,0.2321,幸福，浆果，时间，主义，一起,49592,6457.9,这首歌好适合在微醺的状态下听啊 两个人点着香薰蜡烛 以放松的姿态喝酒畅谈 窗外月光照映 屋内万般暧昧...,49592
2124385868,如果爱忘了 (live),汪苏泷/单依纯,2025-11-23 15:39:58,282,200,41,41,0.7092,0.1454,0.1454,越来越，没有，自己，幸福，如果,145427,2904.1,沙发...,145427
2743486511,一点点（为什么晚上总是有星星）,芊芊龍/董唧唧,2025-11-23 15:40:08,40,21,9,10,0.525,0.225,0.25,起来，好听，zh，开头，喜欢,12303,1256.1,希望听歌的大家能有甜甜的一天[心动]✨💗...,12303
2071935674,我想念,汪苏泷,2025-11-23 15:40:27,132,89,20,23,0.6742,0.1515,0.1742,喜欢，没有，不要，现在，好不好,113192,3976.3,画个圈圈 诅咒你们和最爱的人和好...,113192
2022072826,我想要占据你,告五人,2025-11-23 15:40:38,40,23,5,12,0.575,0.125,0.3,儿子，评论，朋友，但是，女孩子,22601,3598.9,“别走行吗？”这句话只有体育老师对我说过...,22601
108485,Always Online,林俊杰,2025-11-23 15:40:55,109,69,13,27,0.633,0.1193,0.2477,星星，喜欢，还是，时候，没有,114588,6137.9,每次听这首歌的时候就在想“和你one two one”到底是什么动作？？！[撇嘴]...,114588
2673175226,零距离的思念,TINY7,2025-11-23 15:41:06,40,22,6,12,0.55,0.15,0.3,音乐，满分，零距离，思念，永远,32655,3989.4,没前奏就这样吻上来...,32655
1927693793,再等冬天(Memories),h3R3,2025-11-23 15:41:23,114,60,22,32,0.5263,0.193,0.2807,冬天，没有，到底，只是，幸福,105561,4604.6,撕碎那些你给的回忆...,105561
1922888354,苦茶子,Starling8/MoreLearn 27/FIVESTAR,2025-11-23 15:41:40,97,57,14,26,0.5876,0.1443,0.268,开始，告诉，有点，现在，茹茹,169215,5094.5,本来还觉得苦茶子怪有内种高级感，当我读出来终于明白为什么那么多人说发在朋友圈丢人了...,169215
2041026502,愿与愁,林俊杰,2025-11-23 15:41:50,64,45,11,8,0.7031,0.1719,0.125,旋律，没有，感觉，哪怕，因为,54949,6695.5,我把家暴的后爸告上法庭了...,54949
247821,阳光下的星星,金海心,2025-11-23 15:42:01,67,29,8,30,0.4328,0.1194,0.4478,悲切，Major，明白，看到，就是,94512,5261.2,一直不太明白阳光下的星星是什么？那天看到她哭，才明白，阳光下的星星就是眼泪...,94512
2758289151,冬与你,万乐体/鱼骨妹,2025-11-23 15:42:10,40,32,4,4,0.8,0.1,0.1,一起，永远，chy，lhy，冬天,5383,652.8,我想要徽章可以随手点一个吗[泪目][泪目]...,5383
1355860112,寂寞寂寞不好,曹格,2025-11-23 15:42:19,40,22,9,9,0.55,0.225,0.225,星星，流感，喜欢，好听，寂寞,54195,6303.0,儿子用自己歌官宣了 老实了没[多多笑哭][多多笑哭]...,54195
1413374550,一滴泪的时间 (L),赵紫骅,2025-11-23 15:42:31,40,27,6,7,0.675,0.15,0.175,时间，一滴，网易，自己，多少,17195,2306.0,一滴泪的时间，取决于脸的长度。...,17195
453268268,舍得,王唯旖,2025-11-23 15:42:48,106,74,14,18,0.6981,0.1321,0.1698,天天开心，接受，喜欢，真的，幸福,100051,4180.1,拧巴的人永远在期待别人能读懂她的隐喻...,100051
1851652156,忘不掉的你,h3R3,2025-11-23 15:43:14,178,102,36,40,0.573,0.2022,0.2247,缺点，忘不掉，自己，还是，对不起,162469,5983.1,热烈建议恋爱脑纳入国家重大疾病！...,162469
2025186889,绽放,郑润泽,2025-11-23 15:43:31,90,70,10,10,0.7778,0.1111,0.1111,绽放，我爱你，没有，自己，希望,71357,3216.0,绽放没有条件 只要你想 加油 我们一起努力 时间还很多...,71357
1895330088,予你,队长,2025-11-23 15:44:00,196,134,20,42,0.6837,0.102,0.2143,解药，喜欢，江予，程恪，幸福,179070,6201.1,“程恪，救救我。” “程恪，我很喜欢你。” “我很想他，”江予夺轻声说，“特别特别想他。”  江予夺...,179070
2097443876,碎碎念,队长,2025-11-23 15:44:10,40,26,4,10,0.65,0.1,0.25,碎念，幸福，流泪，队长，哀伤,5561,497.8,管它是现在或未来...,5561
2018733994,遐想,郑润泽,2025-11-23 15:44:28,116,76,10,30,0.6552,0.0862,0.2586,讨厌，喜欢，幸福，遐想，没有,115721,3577.7,你做好新方向 后面是我和我的一切...,115721
1482867143,夏夜最后的烟火,颜人中,2025-11-23 15:44:46,112,78,17,17,0.6964,0.1518,0.1518,喜欢，希望，没有，完美，一起,108865,5606.8,"""我好像老是爱上那些不太愿意认真喜欢我的人""...",108865
208902,红色高跟鞋,蔡健雅,2025-11-23 15:45:12,213,141,28,44,0.662,0.1315,0.2066,幸福，喜欢，现在，没有，时候,396410,10003.8,姐妹篇——我的滑板鞋。像爱不释手的 红色滑板鞋。...,396410
25648006,麦恩莉,方大同,2025-11-23 15:45:33,144,74,29,41,0.5139,0.2014,0.2847,晚安，大同，一样，天天开心，没有,144905,5581.5,方大同    一个不喜欢前奏的男人...,144905
27747329,坠落,蔡健雅,2025-11-23 15:45:43,51,39,7,5,0.7647,0.1373,0.098,加油，自己，还是，幸福，永远,51305,5312.2,这是健雅少有的一首极度灰暗的歌。可以在放纵自己悲伤的时候听。不过，歌曲虽悲，还是要乐观生活。歌友们不...,51305
30612793,多远都要在一起,G.E.M.邓紫棋,2025-11-23 15:46:12,206,147,27,32,0.7136,0.1311,0.1553,远距离，星途，璀璨，一样，能克服,116493,3461.2,我觉得邓紫棋是因为红才闹出那么多的绯闻，不是因为那么多的绯闻才红的...,116493
1918576268,红,罗言,2025-11-23 15:46:32,132,97,15,20,0.7348,0.1136,0.1515,喜欢，谢谢，眼泪，自己，杨玉婷,151466,6515.6,奇数就继续爱，偶数就放弃...,151466
2719101070,MONTAGEM XONADA,MXZI/DJ Samir/DJ Javi26,2025-11-23 15:46:41,40,23,10,7,0.575,0.25,0.175,鸡蛋，老奶奶，一秒，指着，大街,23361,3087.2,指着扫大街的环卫工人说：“不好好学习将来只能和他们过的一样”（x） 指着扫大街的环卫工人说：“好好学...,23361
88926,想你的夜,关喆,2025-11-23 15:46:55,67,47,7,13,0.7015,0.1045,0.194,我爱你，爷爷，没有，幸福，一直,35114,3317.5,自习课一不小心飙了句‘想你的夜’全班就默默地回了我‘多希望你能在我身边’...,35114
82532,最好的我,房祖名/龚芝怡,2025-11-23 15:47:05,40,29,2,9,0.725,0.05,0.225,恋爱，就是，爱情，程程，天天开心,19112,2860.9,歌里这女的是个恋爱脑我算是看出来了...,19112
2166584564,小孩,罗森涛,2025-11-23 15:47:15,58,38,12,8,0.6552,0.2069,0.1379,小孩，还是，幸福，不会，永远,46029,4663.5,如果熬夜掉的是腿毛就好了...,46029
1413585838,与我无关,阿冗,2025-11-23 15:47:48,242,143,42,57,0.5909,0.1736,0.2355,幸福，喜欢，与我无关，你好，生日快乐,285405,4603.9,无论如何 爱情江湖路仍应抱以感恩酒 就算你从此成了我的旧患 也能骄傲的说我再也不差喜欢...,285405
1363553440,出现又离开 (Live),梁博,2025-11-23 15:48:01,70,44,10,16,0.6286,0.1429,0.2286,喜欢，加油，总是，自己，是不是,77634,5330.4,不得不承认 失去比拥有更踏实...,77634
553755659,可不可以,张紫豪,2025-11-23 15:48:51,376,258,48,70,0.6862,0.1277,0.1862,喜欢，幸福，现在，一起，没有,369250,5058.2,你后悔吗，关于我...,369250
64093,孤独患者,陈奕迅,2025-11-23 15:49:21,217,128,25,64,0.5899,0.1152,0.2949,自己，多多，难过，时候，hi,201302,5059.2,“老板两份炒面打包；一分辣一份不辣…算了两份都辣”...,201302
150432,爱我还是他,陶喆,2025-11-23 15:49:38,99,71,10,18,0.7172,0.101,0.1818,晚安，还是，越来越，谢谢，幸福,92943,5042.8,其实最恶心的就是两个人吵完架  各自沉默  然后突然有条狗出现在她身边   那条狗不用参与她的柴米油...,92943
65766,富士山下,陈奕迅,2025-11-23 15:50:01,144,96,23,25,0.6667,0.1597,0.1736,富士山，喜欢，幸福，不能，自己,301373,7898.2,你喜欢一个人，就像喜欢富士山。你可以看到它，但是不能搬走它。你有什么方法可以移动一座富士山呢？回答是...,301373
1890530891,如果可以,韦礼安,2025-11-23 15:50:20,133,85,22,26,0.6391,0.1654,0.1955,没有，如果，副作用，平安，自己,81039,3597.9,回忆脑比恋爱脑更可怕...,81039
1887139866,指纹,杜宣达,2025-11-23 15:50:39,132,83,26,23,0.6288,0.197,0.1742,时候，然后，自己，出来，幸福,81222,4209.4,有的时候如果错过了一些人，错过了一些事，就没有办法再回头了。甚至可能做朋友少一点天分，做恋人少一点缘...,81222
2647831829,我爱你但是我要回家,ET/Happer/无面小生/口古口古,2025-11-23 15:50:48,51,34,6,11,0.6667,0.1176,0.2157,没有，还是，一直，部分，真的,26923,3631.9,“原来还真会有人幻想跟好久不联系的人怎样重逢”...,26923
239168,现在那边是几点,黄小琥,2025-11-23 15:50:56,40,20,11,9,0.5,0.275,0.225,这么，现在，几点，没有，多多,17967,1941.8,没有小众的音乐  只有迟来的观众[多多大哭][多多大哭]...,17967
287719,开始懂了,孙燕姿,2025-11-23 15:51:10,62,38,10,14,0.6129,0.1613,0.2258,喜欢，现在，只是，一起，选择,128052,7853.5,书上说不要在16，17岁爱上一个人，因为这个人会让你得不到，又忘不掉。...,128052
1493976789,My love,颜人中,2025-11-23 15:51:21,47,32,9,6,0.6809,0.1915,0.1277,所有，幸福，陈先生，一起，现在,57473,4039.3,Bae这个单字又可以称作baby 也可以当作before anyone else的意思  「比 任 ...,57473
223801,猜不透,丁当,2025-11-23 15:51:30,40,28,4,8,0.7,0.1,0.2,猜不透，自己，还是，幸福，总是,37705,3071.4,这首歌充分反应了我在做数学作业的时候的感受。。相处这么久了还是猜不透。。...,37705
3312557251,Black Veil Bride,Rosy赵露思,2025-11-23 15:51:41,54,31,8,15,0.5741,0.1481,0.2778,好听，赵露，思唱，一辈子，赵露思,21967,1807.2,赵露思有着一种黑色生命力，你越是打压，她越是能牢牢把握住每一次机会绝处逢生，希望大家她不止看到她提柔...,21967
1974443814,我记得,赵雷,2025-11-23 15:52:11,230,176,28,26,0.7652,0.1217,0.113,妈妈，哭哭，希望，自己，喜欢,580373,10236.2,记住 摆烂太久是会被收走天赋的...,580373
1807799505,唯一,告五人,2025-11-23 15:52:39,203,145,31,27,0.7143,0.1527,0.133,唯一，一天，喜欢，真的，不是,308414,7008.9,“因为感觉不到爱，所以做了先逃跑的人”...,308414
421423808,虚拟,陈粒,2025-11-23 15:53:02,168,130,13,25,0.7738,0.0774,0.1488,喜欢，自己，虚拟，幸福，真的,537925,9445.6,给你们的情歌...,537925
1397345903,悬溺,葛东琪,2025-11-23 15:53:43,319,245,35,39,0.768,0.1097,0.1223,哭哭，生日快乐，喜欢，悬溺，还是,665500,7079.2,悬溺 这个名字读快了就是 喜欢你...,665500
2038191895,诀别书,邓垚,2025-11-23 15:54:07,167,106,24,37,0.6347,0.1437,0.2216,没有，好好，时候，自己，为了,312596,10365.8,天天把死挂在嘴边的人，不是在期待死，而是在渴望爱——史铁生...,312596
