用户名,用户城市,评论内容,点赞数,评论时间,情感得分
祁欲52,内蒙古,你让我找的好惨啊，找了好几首才找到你😭😭,80,2025-10-12 16:32:41,0.34467934020095503
浅安时光phj,广东,让我看看谁是从短剧过来的,28,2025-11-14 13:54:22,0.5
巫了了了了,江苏,郡主又美又飒，短命世子日日求娶,14,2025-11-17 20:07:20,0.8661038561603953
绿菜盖饭,浙江,雷朋99,7,2025-11-22 16:50:26,0.9737874945403563
小了白了兔丶丶,江苏,"“你猜，为什么每次你看向我的时候，我们都能对视呢？""",5,2025-11-22 12:42:10,0.5541443796307215
小了白了兔丶丶,江苏,光遇来的，赞美光遇,5,2025-11-22 12:41:53,0.2916213098101874
宇宙的一位未知名访客,湖南,漫游听到的，难生恨也是回来了[害羞],3,2025-11-22 20:21:30,0.7302802356110322
蛋仔笑心欣,山东,我记得原曲的名字不是叫难生恨吗 ？,3,2025-11-22 18:12:56,0.8062079430427526
-假_象,北京,这不是叫难生恨吗,2,2025-11-22 20:17:40,0.5831252670169583
是右右o,浙江,紧张吗,2,2025-11-22 19:47:20,0.6551724137931035
大约在冬季_J,浙江,这些年我对你的感情变了又变 可是没有一秒钟 我对你的感情归于平淡 没有一秒钟。,2,2025-11-19 18:30:22,0.983315248482878
年盛,陕西,日推找到的。。,1,2025-11-22 19:30:55,0.2327242623964232
酸涩语,江西,气死我了要vip😭,1,2025-11-21 20:56:13,0.304488828975342
唯一_P4nv,浙江,在你那我好像从未有过名分，可是你在我这从一开始就是我的唯一，从一开始就有只属于你的名分，难道从始至终我都没有在你那被你偏爱过吗,1,2025-11-20 23:59:51,0.0914639779589086
宸-心,安徽,DAWN,1,2025-11-19 23:56:51,0.5
美汐mx,河北,高阳世子要名分配这首真绝了,1,2025-11-19 10:00:20,0.3501579584984895
-假_象,北京,什么短剧啊,0,2025-11-22 20:16:41,0.5
起个名字真真真麻烦,山东,哈哈哈,0,2025-11-22 07:54:15,0.8684210526315791
茉偲,江苏,每日推荐依旧权威,0,2025-11-21 22:40:38,0.9876900711110079
miss桔鸭,云南,我我我[笑了],0,2025-11-21 20:39:01,0.6999999999999997
甜馨呢_fW8d,云南,好听好听好听,0,2025-11-21 10:59:50,0.09199658582952375
妮妮爱cat,湖南,好听,0,2025-11-20 22:46:11,0.33333333333333337
呸呸呸呸呸呸pei,江苏,什么短剧,0,2025-11-20 17:02:11,0.5
拿捏小邓,广西,祝我们永远都能抓住那些很好的瞬间 祝你早安午安晚安 祉猷并茂 顺遂无虞,0,2025-11-20 15:41:44,0.9999558028555865
酸菜也是白菜,黑龙江,日推来的[蹲蹲],0,2025-11-20 10:52:49,0.5745303356829883
白梨梨梨梨子,山东,正版是谁唱的呀,0,2025-11-19 22:54:57,0.603202660889438
喜欢简单遗忘难,湖北,好滴 谢谢☺️,0,2025-11-18 13:54:46,0.7035183424223247
似小梦_,辽宁,因为这个是盗版，正版版权没了😭,0,2025-11-18 12:11:49,0.015262663859055392
