歌曲ID,歌曲名称,歌手,抓取时间,评论总数,积极评论数,消极评论数,中立评论数,积极评论占比,消极评论占比,中立评论占比,高频字眼,最高点赞量,平均点赞量,Top1评论预览,Top1点赞数
1842728629,如果呢,郑润泽,2025-11-23 17:03:44,364,230,61,73,0.6319,0.1676,0.2005,如果，幸福，自己，没有，喜欢,278949,3146.6,我得胃癌了  我没有开玩笑 六月的时候就确诊了  我有一个小朋友 我没有告诉他我已经晚期了  我好喜...,278949
3319722018,废话文学,郑润泽,2025-11-23 17:03:54,40,23,9,8,0.575,0.225,0.2,废话，好不好，文学，我爱你，之间,1828,114.0,四巡唱这首歌好不好...,1828
2108845007,讴歌,Vansdaddy,2025-11-23 17:04:05,40,24,5,11,0.6,0.125,0.275,时候，讴歌，幸福，现在，星海,9998,1171.0,说实话我录这首歌的时候是最想你的时候，好多年了，我没有一点你的消息，我一个人在欧城房子睡觉的时候总会...,9998
3319817890,身无居所,Vansdaddy/王以太,2025-11-23 17:04:15,40,25,9,6,0.625,0.225,0.15,以太，vd，出来，不同，黄之仪,1135,73.3,我哥太爱我了...,1135
2756055504,花,海洋Bo/黄绮珊,2025-11-23 17:04:27,40,30,3,7,0.75,0.075,0.175,记得，一定，妈妈，哭哭，自己,680,52.0,也许你记得很多人，也许没人记得你，也许你不记得很多人，也许有人记得你...,680
3319814367,晴天四季,Vansdaddy,2025-11-23 17:04:36,40,30,5,5,0.75,0.125,0.125,晴天，四季，好听，街头，暴雨,942,77.2,一切好就好。...,942
1359356908,晚安,颜人中,2025-11-23 17:05:08,236,170,21,45,0.7203,0.089,0.1907,晚安，没有，喜欢，第一次，如果,441910,7569.8,大家好，我是顏人中，身高185，體重一個月之內會降到80kg !  這是我的第一隻個人單曲，謝謝大家...,441910
3319813281,四月物语,Vansdaddy/李文,2025-11-23 17:05:19,40,21,9,10,0.525,0.225,0.25,李文，以为，感觉，vd，一样,880,59.9,我记得我们以前所有人都在。...,880
3319813693,健康,Vansdaddy/艾志恒Asen,2025-11-23 17:05:29,40,24,5,11,0.6,0.125,0.275,Asen，真的，asen，听歌，喜欢,993,96.6,豪华绚烂...,993
3319814570,东亚焦虑,Vansdaddy/Lil Asian,2025-11-23 17:05:40,40,27,5,8,0.675,0.125,0.2,焦虑，春节，亚洲，vd，感觉,713,87.3,我有时开心但我有时也很…...,713
3319814438,楚门的世界,Vansdaddy/mac ova seas,2025-11-23 17:05:48,39,27,4,8,0.6923,0.1026,0.2051,mac，vd，一样，合体，asen,620,51.5,撕破外表。...,620
3320401411,装货 (Live),欧阳娜娜/薛之谦,2025-11-23 17:05:57,40,28,8,4,0.7,0.2,0.1,..，装货，湖泊，顽疾，深陷,716,43.1,回头看看 其实9年制义务教育里 最重要的一本是 思想品德 有点薄有点难 你不背我不配 谁也别怪谁  ...,716
1926623288,小胡同,郑润泽,2025-11-23 17:06:25,209,129,25,55,0.6172,0.1196,0.2632,好不好，喜欢，幸福，小丁，一直,104161,2545.0,我来啦...,104161
3320331503,像晴天像雨天 (live),汪苏泷,2025-11-23 17:06:34,40,30,6,4,0.75,0.15,0.1,汪苏，最好，最帅，好听，喜欢,334,21.9,谁懂《像晴天像雨天》➕《忽而今夏》➕《耿》➕《眼泪落下之前》的含金量啊[哭哭][哭哭][哭哭]...,334
2753872890,VIBE,RANGE,2025-11-23 17:06:42,25,10,7,8,0.4,0.28,0.32,好听，不错，节奏，这是，今天,0,0.0,可以...,0
1400259397,有我呢,郭一凡,2025-11-23 17:06:59,104,69,5,30,0.6635,0.0481,0.2885,永远，幸福，喜欢，展丞，自己,98468,4802.4,每一次听这首歌 都感觉在自己哄自己...,98468
2018733994,遐想,郑润泽,2025-11-23 17:07:17,116,72,13,31,0.6207,0.1121,0.2672,讨厌，喜欢，如果，遐想，幸福,115727,3578.5,你做好新方向 后面是我和我的一切...,115727
3320331526,一直很安静 (live),颜人中,2025-11-23 17:07:27,33,19,7,7,0.5758,0.2121,0.2121,一直，安静，好听，幸福，一辈子,219,12.7,十一月听《一直很安静》的幸福一辈子...,219
3320401890,爱丽丝卿 (Live),周深,2025-11-23 17:07:36,40,30,6,4,0.75,0.15,0.1,周深，心动，爱丽丝，喜欢，特别,411,73.5,很怪的歌，很好的展示了小深现在的棱角和独特的气质，无法被定义，无法被束缚，独立于画框和世俗之外，我唯...,411
2025186889,绽放,郑润泽,2025-11-23 17:07:52,90,70,10,10,0.7778,0.1111,0.1111,我爱你，绽放，没有，希望，润泽,71364,3216.2,绽放没有条件 只要你想 加油 我们一起努力 时间还很多...,71364
2758289151,冬与你,万乐体/鱼骨妹,2025-11-23 17:08:02,40,28,6,6,0.7,0.15,0.15,chy，lhy，永远，一起，冬天,5387,657.2,我想要徽章可以随手点一个吗[泪目][泪目]...,5387
287063,我怀念的,孙燕姿,2025-11-23 17:08:33,234,152,22,60,0.6496,0.094,0.2564,怀念，没有，天天开心，一起，幸福,373269,5664.3,我怀念的是我爷爷还在的时候...,373269
2747802379,Montagem Miau,Lenar,2025-11-23 17:08:43,39,22,6,11,0.5641,0.1538,0.2821,阿米，嘎蒂朵，miau，mi，meme,652,32.3,我相信一定有人是看 meme才搜这首歌的[笑哭了][邪魅一笑]...,652
