用户名,用户城市,评论内容,点赞数,评论时间,情感得分
可以陪我一起长大吗,英国,留学听到这首歌哭成狗了[哭哭],136,2025-11-16 06:52:54,0.9930124518259064
十七考研必胜jh,安徽,还有32天，不就是个研究生吗？我一定上,90,2025-11-17 08:15:06,0.8381902065235726
蛤蟆蛤蟆气鼓气到八月十五,加拿大,辞家千里又千里 呼吸自由的空气 年轻的时光让我怎能不珍惜 童年的风雨就让它留在往昔 我也不会困在雨里 辞家千里又千里 有种幸福叫逃离 熬过了窒息就是广阔的天地 生命未停歇我的脚步不止息 此生无憾完整拥有自己 （不是致润人，而是致所有逃离原生家庭的人,8,2025-11-22 10:53:05,0.9999999999999822
从前有只树,江西,高考后固执地选择去北方读大学，离家千里，才明白远方的万家灯火没有一盏为我而亮，毫无归属感，那时就想“毕业就回家吧”。 毕业后在家附近找了一份早九晚五有双休的工作，工资低但幸福感很高，傍晚散步看晚霞。两年后爸妈要求我考公，考上了却离家几百公里，那这次…我该怎么回家啊…,7,2025-11-22 12:58:01,0.9999998310942831
冬恋小航家,陕西,还有200天不就是大学吗？我一定上,4,2025-11-22 11:25:31,0.34991214107923574
-烊烊很OK-,山东,希望明年能坐在梦校听这首歌,4,2025-11-21 18:07:46,0.988577146312022
eyjestdgj,山东,我一定能考上！！！不就是数学吗 我学！！！我一定能学会！也必须学会！,3,2025-11-22 16:42:03,0.9908728941070343
屿雾emm,上海,我必须考上,2,2025-11-22 18:55:46,0.8333333333333333
缘起于初遇,河北,加油！,2,2025-11-22 13:31:33,0.9047619047619047
云玥_12315,湖南,不就一个破重高吗？一中等我！,1,2025-11-22 21:43:12,0.6017562161696139
卡布叻奶酪,广东,听到这首歌的时候，我的泪水止不住的流，我想我的朋友了,1,2025-11-22 16:16:22,0.941528955455375
cheesexx,韩国,最感谢的就是自己,1,2025-11-22 15:55:48,0.7263447453091526
T--praise,河北,先去，在接着考,1,2025-11-22 15:17:16,0.8265748392968124
1點屁事,山西,多少山西孩子ip不在山西🥺,1,2025-11-22 02:25:06,0.5347862232748583
腼腆且有点小美,黑龙江,小力士！！！！！！啊啊啊！！！！,1,2025-11-21 18:18:27,0.019383955719751933
暮月aj,四川,辞家千里又千里，必成争气再争气,0,2025-11-22 22:46:34,0.8166596208719349
呆呆_hha,山东,加油！,0,2025-11-22 22:45:32,0.9047619047619047
是F盘啊,山西,有口音啊这唱的,0,2025-11-22 22:41:12,0.8182313426953005
西海情歌_11,河南,我总有一天会爆单不停,0,2025-11-22 22:00:32,0.032967065881323476
幸运熊吖,黑龙江,希望今年能考回家，让我回家吧[多多大哭][多多难过][多多难过][多多难过],0,2025-11-22 18:38:48,0.9999758513674065
大力出奇迹呜呼,河南,我也是[举手]离开家一定要幸福,0,2025-11-22 15:39:05,0.9665802334803048
miss懵懵__,上海,看了小莎的来时路，已经很争气了，只要你一直打球，我就会一直支持你[红心],0,2025-11-22 15:15:10,0.706039522842272
桑榆非晚912,海南,肖你做到了 你在异乡有爱你的人和你的家了,0,2025-11-22 04:54:28,0.9414180561436384
bluegum桉,陕西,辞家千里又千里，务必争气再争气…,0,2025-11-21 22:22:41,0.4635304904171105
州州的小屋,四川,加油加油,0,2025-11-21 22:13:41,0.9878422480679183
ZoeKarry,陕西,祝我一战上岸梦校,0,2025-11-21 20:47:50,0.21270991843231468
叭啾啾咪,山东,你一定可以 一战成硕,0,2025-11-21 18:38:26,0.4007001343939727
