歌曲ID,歌曲名称,歌手,抓取时间,评论总数,积极评论数,消极评论数,中立评论数,积极评论占比,消极评论占比,中立评论占比,高频字眼,最高点赞量,平均点赞量,Top1评论预览,Top1点赞数
3317572470,What a Day,蔡徐坤,2025-11-23 17:23:19,40,25,11,4,0.625,0.275,0.1,好听，感觉，一种，这种，欢快,8055,953.0,有一种迪士尼，有一种百老汇，有一种音乐剧，总之有一种经济上行黄金时期的好听！...,8055
3318924230,尘间雪,世界之外,2025-11-23 17:23:30,40,37,1,2,0.925,0.025,0.05,生日快乐，顾时夜，四哥，真的，没有,2341,232.4,不知道是不是巧合，生日线下的武汉下了第一场雪，对于没有遇见过顾时夜的人来说，世界之外和世界之内的雪泾...,2341
3318010850,亮剑,盛宇D-SHINE/功夫胖KungFuPen,2025-11-23 17:23:40,40,22,9,9,0.55,0.225,0.225,哥们，好听，今天，boombap，真的,1605,156.6,纯假想敌说唱 2025了 谁还听这老boombap呢...,1605
3319386277,弹唱小组合（Live）,房东的猫,2025-11-23 17:23:52,40,27,7,6,0.675,0.175,0.15,晚上，哭哭，啊啊啊，一直，十二,153,18.5,上班[笑了][笑了]...,153
3318040610,雨和雨,马赫mood,2025-11-23 17:24:01,40,23,7,10,0.575,0.175,0.25,马赫，生活，想到，专辑，抽象,967,94.2,马赫！！！！！你太厉害了！！！！！！...,967
3319196036,失重(路过的街角 熟悉的咖啡),Prime,2025-11-23 17:24:11,40,24,6,10,0.6,0.15,0.25,前面，好听，真的，混音，出来,1000,116.3,这个赞好高级，居然是小蛋糕耶🤪🤪...,1000
3318287774,亿万,吴垚滔,2025-11-23 17:24:21,34,22,4,8,0.6471,0.1176,0.2353,亿万，终于，喜欢，一颗，其中,405,19.0,一年了，亿万终于来啦！...,405
3317990608,把你的名字念一万遍 (Live),刘宇宁,2025-11-23 17:24:32,39,30,6,3,0.7692,0.1538,0.0769,刘宇宁，好听，名字，喜欢，一万遍,863,37.3,谢谢宁哥选择我的作品！ 能跟宁哥一起玩摇滚是我的荣幸呀！ 听说明天北京站会…耶！！！...,863
3318022899,程实说,SHarK,2025-11-23 17:24:42,35,20,8,7,0.5714,0.2286,0.2,虚无，赞美，就是，小丑，命运,80,9.1,命运就是个**！！！[脸红][脸红][脸红]...,80
3315512988,场外队友,林奕匡/李昊,2025-11-23 17:24:51,43,20,7,16,0.4651,0.1628,0.3721,一直，流泪，红心，一起，十个,1090,133.2,靈魂同頻就夠 就這樣一直走[红心]...,1090
3317989661,象人 (Live),张弛,2025-11-23 17:25:01,40,23,10,7,0.575,0.25,0.175,张弛，好听，喽哈，亚军，唱歌,1587,185.0,是那个星光大道亚军张弛吗！是一年一度喜剧大赛冠军逐梦亚军的张弛吗！是唱歌演戏跳舞京剧曲剧乐器样样俱佳...,1587
3317990665,雨季又来临 (Live),周深,2025-11-23 17:25:11,40,32,4,4,0.8,0.1,0.1,周深，真的，好听，永远，所有,137,18.6,这首《雨季又来临》，是周深递给所有过往与现在，所有正在经历潮湿心境的人们，一把声音做的伞。伞下，是一...,137
3317338656,花千树,黄龄,2025-11-23 17:25:22,32,24,4,4,0.75,0.125,0.125,特别，真的，黄龄，打卡，感觉,80,9.5,作曲+制作人打卡！ 如果你有幸看过泰顺的药发木偶，大概就能理解歌里“火树银花，星落如雨”的景象...,80
3318880561,冰冷心事,4444/悲伤情绪海,2025-11-23 17:25:33,27,11,7,9,0.4074,0.2593,0.3333,害羞，现在，心事，以前，说话,33,2.8,你们的lazy神 来了！！😈...,33
