s,名称,创建日期,播放次数,收藏量,转发量,评论数,歌单长度,tag1
0,百代经典老歌 | 百年光辉历史 经典旋律永存,2023-06-15,297750,2518,8,3,50,nan nan nan
1,青春纪念册 | 重温那些经典的校园歌谣,2021-07-07,352429,2116,9,1,90,nan nan nan
2,2010s华语摇滚 | 新时代的中国摇滚浪潮,2023-04-11,1693809,8427,87,59,94,nan nan nan
3,听华晨宇热门精选,2023-11-17,1203178,6794,92,244,30,nan nan nan
4,2013伤感热播 | 和张杰一起回顾2013苦涩情歌,2025-09-16,69071,203,6,8,60,nan nan nan
5,重返2020 | 从颜人中《夏夜最后的烟火》开始回忆2020,2025-04-01,221408,1223,6,1,102,nan nan nan
6,1990s华语民谣 | 重拾记忆里的流金岁月,2023-10-08,847352,2260,15,13,36,nan nan nan
7,2010伤感热播 | 和黄丽玲A-Lin一起整理2010愁绪乐章,2025-09-12,549861,1079,9,1,60,nan nan nan
8,全网流行热歌 | 派伟俊 左转灯 和百首网络热门单曲,2021-07-06,7327814,16476,124,28,168,nan nan nan
9,音综流行热歌 | 薛之谦 平庸 和200首精选音综现场,2020-04-28,22458312,70345,471,145,205,nan nan nan
10,1990s华语R&B | 回到华语R&B金色年代,2023-10-18,776356,5380,13,8,30,nan nan nan
11,出发听老歌 | 经典旋律伴你快乐行程,2025-10-16,66091,373,1,1,80,nan nan nan
12,重返2015 | 从林俊杰开启2015聆听之旅,2023-06-21,492023,6178,13,6,100,nan nan nan
13,R&B新浪潮 | 循环不停的新生代华语R&B,2024-10-10,438059,2801,28,6,80,nan nan nan
14,2023伤感热播 | 和汪苏泷一起细数2023失落瞬间,2025-03-14,361754,2210,10,2,60,nan nan nan
15,清晨散步歌 | 抒情华语伴你开启活力一整天·Hi-Res,2023-08-11,190347,864,3,1,59,nan nan nan
16,"重返1995 | 从张国荣,许美静开始重温1995",2021-09-06,549917,4057,19,14,103,nan nan nan
17,环球经典老歌 | 魅力无限环球音乐精选,2023-06-15,291158,2971,7,2,119,nan nan nan
18,宅家听华语 | 超好听华语陪你度过居家时光,2023-11-01,1546261,4013,14,14,100,nan nan nan
19,重返1997 | 杨乃文领衔带来1997年经典热曲,2021-09-06,448394,2835,20,10,100,nan nan nan
20,国语珍藏 | 给你一张过去的CD,2021-07-06,29277536,170000,2123,320,200,nan nan nan
21,2024国风热歌 | 朱颜不改 回首作《壁上观》,2025-01-06,329733,3697,5,10,59,nan nan nan
22,"重返1992 | 重温金城武,杨钰莹以及更多1992经典热曲",2021-09-06,532495,3577,11,7,114,nan nan nan
23,麦霸练歌房 | KTV必点华语金曲精选,2019-05-09,6103690,51534,602,960,70,nan nan nan
24,励志华语流行 | 踏入华语励志音乐的能量场,2024-02-21,108550,1573,6,2,65,nan nan nan
25,孤独唱片店 | 总有一首歌能包容你的心事,2023-02-16,3759115,9211,61,65,61,nan nan nan
26,伤心频率 | 与你共鸣的精选华语,2023-04-20,3004002,11196,59,31,40,nan nan nan
27,我们没开始 | 来自宝岛的一场思绪骤雨,2024-12-25,1489506,2202,20,12,62,nan nan nan
28,阴天快乐 | 如果情绪有天气 我陷在阴天里,2021-11-04,32397952,110000,1284,369,389,nan nan nan
29,2010s华语R&B | 重回华语R&B新时代,2023-10-18,1498684,10240,95,15,50,nan nan nan
30,华语R&B | 情绪辗转反侧 雾气消散不开,2021-04-09,19869746,69827,692,176,140,nan nan nan
31,听邓紫棋热门精选,2022-09-30,18837474,92197,585,1685,30,nan nan nan
32,云村流行热播 | 陈奕迅 K歌之王AIR版和300首品质好歌,2021-03-30,13903704,43227,267,162,309,nan nan nan
33,百代经典老歌 | 百年光辉历史 经典旋律永存,2023-06-15,297750,2518,8,3,50,nan nan nan
34,2024国风热歌 | 朱颜不改 回首作《壁上观》,2025-01-06,329733,3697,5,10,59,nan nan nan
35,2002伤感热播 | 和陶喆一起聆听2002伤感旋律,2025-08-29,187470,560,6,2,60,nan nan nan
36,全网流行热歌 | 派伟俊 左转灯 和百首网络热门单曲,2021-07-06,7327814,16476,124,28,168,nan nan nan
