用户名,用户城市,评论内容,点赞数,评论时间,情感得分
破碎的心等待爱情来填满,广东,有些人上一秒还在抖音，下一秒出现在了网易云🤓,1128,2025-11-06 00:53:36,0.5454200528128079
YUAN_源木,辽宁,致亲爱的源木，你是一滴有着我心脏温度的泪,730,2025-11-05 22:07:21,0.9994573023532431
福花满天,辽宁,从红色软件来的举手→,672,2025-11-06 20:59:04,0.7301360968679157
小烛-starlight,上海,“别忘记我 请忘记我” 太会写词了…,522,2025-11-07 13:06:26,0.5801626223841341
night五,江西,这个世界上不能没有OC妈[哭哭][哭哭],438,2025-11-07 08:51:19,0.9874717248222001
鸢尾开满山头,上海,“使生如夏花之绚烂，死如秋叶之静美”,330,2025-11-07 15:57:10,0.9995296654877994
废物湖边,江苏,「黄金之茧，阿格莱雅」—— 愿「浪漫」相伴你的前程 「万径之门，缇里西庇俄丝」——「门径」为你指明前路 「天谴之矛，迈德漠斯」—— 让「纷争」给予你鼓舞 「灰黯之手，遐蝶」——「死亡」将呵护你的灵魂 「裂分之枝，阿那克萨戈拉斯」—— 由「理性」赐你以启蒙 「晨昏之眼，雅辛忒丝」——「天空」为你洒落晨曦 「翻飞之币，塞法利娅」——「诡计」保你万无一失 「████，卡厄斯兰那」——「负世」定永志不忘 「满溢之杯，海列屈拉」—— 令「海洋」为你起舞 「公正之秤，刻律德菈」—— 由「律法」踏碎不公 「永夜之帷，三月七」——「岁月」会铭记旅途 「磐岩之脊，丹恒」——「大地」护卫你我前行 《崩坏：星穹铁道》昔涟角色 PV——「再度和你」 《崩坏：星穹铁道》救世 PV——「开拓者」     翁法罗斯，明天见,281,2025-11-09 16:24:01,0.999996710893009
时光隧道博古通今鸢尾,湖北,有多少是从小红书传送过来的[耍酷],273,2025-11-06 14:18:35,0.9066499784139324
赴旧忆,北京,大家可不可以写一些自己想说的话，我会标上大家的ip 折成星星纸在罐子里 ，真的很需要 谢谢,223,2025-11-08 18:59:33,0.2019340537572326
墩墩小短腿_VFj9,浙江,这首歌给人一种宿命感很强的感觉，尤其是高潮的对唱。就给人一种不想做到这样子，但又不得不去做，我觉得这首歌，如果对照崩铁里面的黄金裔和原神里面的大慈树王都非常的契合（真的非常适合有没有）,201,2025-11-07 21:12:17,0.9999995395061925
祁陌浅,安徽,“你颤抖着手翻开笔记本” “更多杂乱无章的涂鸦” “一首翻译完整的符文诗” “你的名字，在下面划上三道下划线” “你喜欢的颜色和食物，还有你们喋喋不休的话题” “有研究表明平行时间线与宇宙的存在” “无论何时何地，我们一定会在另一个世界重逢” END：被铭记是多么美好,173,2025-11-06 14:40:22,0.999952162541527
JerryZhaoR,天津,你知道大慈树王吗 您是想说草神大人吧。小吉祥草王为了把死域彻底驱逐，耗尽力量，才变成儿童模样 现在，流传着这样的故事了吗,156,2025-11-06 19:40:57,0.999996612866855
