,名称,创建日期,播放次数,收藏量,转发量,评论数,歌单长度,tag1
0,甜蜜制造机 | 那些温柔爆棚的情歌,2023-05-12,307397,506,6,1,38,nan nan nan
1,旋律漫游 | 心情跟随音乐起伏,2023-05-31,42355,219,6,1,40,nan nan nan
2,爱的誓言 | 走在红毯那一天,2023-05-26,329743,694,12,10,30,nan nan nan
3,路上的旋律 | 音符点亮回忆,2023-05-31,31692,242,1,4,40,nan nan nan
4,漫步异乡 | 聆听跨越文化的音符,2023-05-31,33967,206,2,4,40,nan nan nan
5,微醺R&B | 低浓度的酒精和恰好的暧昧,2023-05-12,202887,1936,34,3,40,nan nan nan
6,漫游异国他乡 | 旋律牵引感官,2023-05-31,52756,542,6,1,40,nan nan nan
7,旅行心情 | 日语乐曲伴随,2023-05-31,42045,270,4,1,40,nan nan nan
8,音乐漫游 | 快乐多巴胺释放,2023-05-31,54531,248,7,1,40,nan nan nan
9,一起看落日 | 听见恋爱的气息,2023-05-31,329835,447,18,3,30,nan nan nan
10,欧美情歌 | 英文里的浪漫与情愫,2023-05-12,336436,1298,25,4,40,nan nan nan
11,浪漫收藏家 | 写一本关于爱的诗集,2023-05-12,29945,246,4,1,39,nan nan nan
12,旅行狂欢 | 音乐与心情相互碰撞,2023-05-31,42362,143,2,2,40,nan nan nan
13,旅途之音 | 日语旋律伴随左右,2023-05-31,56542,396,3,8,40,nan nan nan
14,微醺R&B | 沉浸于丝滑浪漫旋律,2023-05-12,111607,787,17,3,40,nan nan nan
15,浪漫美学 | 在晚霞中驻足相拥,2023-05-12,42723,196,3,3,40,nan nan nan
16,浓情爵士 | 微醺氛围需要伴奏,2023-05-12,42097,349,7,4,40,nan nan nan
17,浪漫之夜 | 情侣独享的私密空间,2023-05-31,17273,110,3,1,40,nan nan nan
18,初恋甜味 | 品味恋爱的第一滋味,2023-05-31,324474,584,27,8,40,nan nan nan
19,恋爱音乐 | 用音乐表达恋爱的灵魂,2023-06-01,24423,130,1,1,38,nan nan nan
