用户名,用户城市,评论内容,点赞数,评论时间,情感得分
JustinBiederr,,每次听这首歌的时候就在想“和你one two one”到底是什么动作？？！[撇嘴],114588,2015-05-02 01:28:57,0.704170646196881
少君倾酒酒,,怀念那时候在课堂上，用MP3听歌，为了不被发现，把耳机从校服衣袖穿出来，然后手托腮，手心拿着耳麦塞耳朵里，还假装听课很认真的日子~~时光就是快的那么不留痕迹。,99544,2015-09-29 16:46:44,0.9989287560179728
哭哭啼啼也挺可爱的吧,,记得给爷爷奶奶推荐这歌，听到“more and more”就被强制停止了，爷爷说什么摸啊摸的！你这么小就听这个？！,65358,2016-05-09 17:17:32,0.9967457693212032
未知-xz,山西,考上一中就表白  25年都来踢我  失败销号[多多比耶],61100,2024-10-09 13:44:39,0.6583899344532126
帐号已注销,,现在是2019年5.31，6天后我就要高考了。还有8天我们就要开毕业晚会了，然后我和她就要分开了。虽然不知道高考结果会怎样，但还是希望能好一点。虽然我们不会在同一个学校，但希望能在同一个城市。我现在还没有能力给她我想给她的幸福，但我坚信五年后我会给她我想要给的幸福。,46291,2019-05-31 13:01:49,0.9999983872713901
夕阳无限好ova,甘肃,Always online这个前奏真的！！！ 遇到真爱时请在我脑海里播放！ 想象一下：深秋街角 咖啡店 转身 久别重逢 初恋对视微风,44025,2024-08-14 20:02:06,0.9135265276923168
Jlaann,,刚在家里放的这首歌 我爸特别激动的说：“我知道这首歌，是不是一个叫勾勾的人唱的？”,37659,2020-02-20 23:27:22,0.9996552750728376
窝素一只小勾,,你不觉得前奏又遗憾又浪漫吗,35046,2021-12-19 20:55:38,0.7817689384029831
许十,,那个时代真好，没有这么多的社交工具，就是短信，电话，扣扣，，每次上扣扣都是想看看他在不在，想说话，又不敢，现在的感情再也回不去了，青春走太快了，大学马上毕业，我的青春真的一去不复返了，,34622,2015-05-29 14:17:50,0.9997576885563667
runawayfastasyoucan,,网瘾少年always online,34366,2015-05-02 23:07:53,0.9067727256589115
indiesilver,,高一的时候 手机忘了关静音 上课时来短信 这首歌前奏响起 我听了十秒 然后含泪把手机交给了班主任[大笑],28918,2016-01-30 08:49:06,0.9995779334195327
觉主琥珀川,,高中时喜欢的一个男生说，最喜欢林俊杰的歌，然后，mp4里都是他的歌。后来，听他唱陈奕迅的爱情转移，那一瞬间，我觉得自己应该是喜欢他的。,17585,2014-12-20 23:02:53,0.9999942907018863
帐号已注销,,以此为证，若没有给到，我五年后亲自到此删除，并销号,17572,2019-05-31 13:03:51,0.11806280783119483
王虎虎sky,,是一直在线，和你一对一聊天，这歌是联想电脑的广告曲。,17289,2018-12-20 16:54:01,0.07372537274806923
爱吃咖啡豆味的冰激凌,,您的霉运已消除100%，请点击确认消除100%,15052,2019-04-19 23:00:56,0.0030421874749873012
萧晓筱小-,海南,放只小猫一个赞摸一次（我想要那个百赞徽章，谢谢各位好心人[红心]） 　　　　　／＞　　フ 　　　　　| 　_　 _ l 　 　　　／` ミ＿꒳ノ 　　 　 /　　　 　 | 　　　 /　 ヽ　　 ﾉ 　 　 │　　|　|　| 　／￣|　　 |　|　| 　| (￣ヽ＿_ヽ_)__) 　＼二つ,2,2025-11-23 12:06:12,0.999999946348562
带着兔子跑,河北,真爱降临的时候请在我脑中循环播放,2,2025-11-23 11:27:14,0.8965245071883681
Lvy同学,广东,可惜我是一个念旧的人 陪我走过任何一段路的人我都记得 如果缘分够的话 我想陪你到最后 如果缘分太浅 那陪你走一段路也是好的 我会忘记的 忘记我们相识的那天 忘记那些腐烂的誓言 某天我遇到了一个用心待我的人 可我已不是那个最好的我 无力又悲哀,1,2025-11-23 14:37:13,0.9999999829745295
雷呈金婚,天津,祝你幸福,1,2025-11-23 14:27:27,0.9839510309814015
骗祎,湖南,你怎么注销账号了[蛋仔大哭],1,2025-11-23 13:41:18,0.9120394411944647
骗祎,湖南,我来踢你了[蛋仔大笑],1,2025-11-23 13:40:19,0.6225030223348649
猝崽Y,重庆,不知道该怎么欣荣着首歌[VIP],1,2025-11-23 13:33:04,0.6426207519690118
逐风fall,内蒙古,两个手指往中间划[抱抱你],1,2025-11-23 13:19:09,0.5682374954079717
-心雪是你的冬-,甘肃,考上炼一好不好[哭哭],1,2025-11-23 13:17:53,0.9699948551807707
梨粒礼,甘肃,愿全世界男生没有痛经,1,2025-11-23 12:53:47,0.5503838915539848
交给时间扒,浙江,命中有时终须有 命中无时莫强求,1,2025-11-23 12:47:03,0.9948513348868445
-永恆-_-,云南,当真爱降临时 请在我脑海中循环播放.,1,2025-11-23 11:59:15,0.9860412873636388
真爱总会降临,广东,“回忆会惩罚每一个念旧的人”,1,2025-11-23 11:55:51,0.9987594038099724
愉快_ABI0,广东,太好听了[色],1,2025-11-23 11:23:53,0.06756995281391875
桉欣沫,宁夏,2025了,0,2025-11-23 14:37:08,0.5
repajsjdb,广东,我的是烟花,0,2025-11-23 14:34:27,0.875
粥少祝自己11-25sk,重庆,今日话题：你crush姓什么,0,2025-11-23 14:32:21,0.6702733463145331
舸媣相符,安徽,[笑了],0,2025-11-23 14:26:40,0.6999999999999997
如果那天不冲动,安徽,好,0,2025-11-23 14:22:51,0.6558628208940429
Cycy09,广东,CSgo,0,2025-11-23 14:21:29,0.5
ya妹n,贵州,风太大，吹走了好多人，又吹来了好多人,0,2025-11-23 14:19:04,0.0833587798927462
初稚-6,河北,好,0,2025-11-23 14:18:04,0.6558628208940429
