用户名,用户城市,评论内容,点赞数,评论时间,情感得分
h3R3,,撕碎那些你给的回忆,105575,2022-03-23 00:03:12,0.9399947730622367
川上月姬,,一千根针都是惩罚念旧的人,51844,2022-03-23 00:27:58,0.9958928919184133
6D不会说唱,,我承认我还是会因为你而心动🥀,51758,2022-06-18 15:05:06,0.4330903318738105
落泪TK康熙,浙江,发明h3r3的真是个天才，还没谈就感觉自己要分了,49543,2024-07-10 10:01:14,0.14398197351329656
钗鬓,云南,早上：笑死我了 中午：笑死我了 晚上：让我捡起散落的片段  那些在我脑海错乱的片段  你出现的那刻时间在变慢,41741,2023-08-08 20:54:14,0.9986371166283926
一样烂,,那就别放下 爱到你自己满意了为止,37553,2022-03-23 00:00:35,0.7583350674686244
不困云,,感谢网易云没有访客记录,34583,2022-05-15 13:16:50,0.692070634712893
迷你饭包,,个人风格好明显啊，一听就知道是谁的歌,28143,2022-10-02 17:38:48,0.9137459387502271
思念如雪剧增,广东,恋人关系冷冰冰 朋友关系暖昧不清,24924,2023-03-19 19:32:17,0.5715771885748009
国服六花,湖北,想要留住雪花 但握在手心里 他只会融化得更快,18348,2022-10-15 23:17:03,0.8090393085725643
h3R3,,你咋了,18097,2022-03-23 06:42:31,0.5262327818078083
古瑞斯Graps,,时间不会让我忘记你 但时间会让我习惯没有你,16801,2022-03-23 15:51:53,0.5405464210777253
-等一场千年雨歇-,河北,现在开始 你会长高痘痘会消失 皮肤会变好变白 成绩会越来越好 会失而复得 接下来的一切都会顺心如意,16062,2024-01-29 18:07:46,0.9967115517749137
UnIvs7,,你先丢下我的 你凭什么听这首歌,15115,2022-03-23 00:31:17,0.7708260524818553
痛苦实体化j,海南,目前最恐怖的状态是：持续性不想学习，间接性想谈恋爱，送命式熬夜，做梦式暴富，间接性崩溃，习惯性自愈,14881,2023-07-11 22:02:20,0.9999978080933954
Jennie_Kvw2,湖南,再等冬天 等不到有你的冬天,2,2025-11-23 14:50:42,0.30539550343914823
萌一小晨,河南,再等冬天，等到的是没有你的冬天。,2,2025-11-23 11:45:10,0.3213385913288287
果冻睡醒了吗,安徽,撕碎的哪些回忆,2,2025-11-23 10:42:51,0.9399947730622367
黑的影紫,广西,我在冬天再等100个女孩子叫我影紫。,2,2025-11-23 10:25:21,0.31179011420443103
淮序然,四川,在等冬天，等到一个没有她的冬天,1,2025-11-23 14:23:32,0.4146107449367704
神威也難藏愛意,黑龙江,再等冬天,1,2025-11-23 14:20:30,0.3694169833745433
韩旺乎peanut,四川,昨天去参加了你的十八岁生日派对，本来对于你邀请我还有一丝庆幸与期待，但是好像是我想的太多，你同样也邀请了你的青梅竹马，我不认识其他人，我一个人坐在那里手足无措，你和他坐在一起，也许这就是命运的安排，我们终究还是没有缘分，对不起王华蔚，我爱你，但是也只能到此为止了,1,2025-11-23 12:08:21,0.9999998620769971
骗瞒,江西,期待的不是雪，而是有你的冬天,1,2025-11-23 11:41:36,0.8079925913472341
是我那时不懂,云南,哈哈 今年的冬天你不在了,1,2025-11-23 11:36:16,0.328093948433657
宁愿舍离,广东,又是一年冬 為你 我願意等一個世紀的雪.,1,2025-11-23 11:04:39,0.6880751077026402
你说你喜欢雨天_,浙江,你说的冬天见 到底是哪个冬天,1,2025-11-23 10:22:37,0.17312294807116446
-遗症-,广东,每年的冬，不同的人。我希望下一年的冬，你还在,1,2025-11-23 09:57:39,0.9049601481808143
-遗症-,广东,阳阳,1,2025-11-23 09:56:34,0.5
小徐绝不emo,天津,沈阳要下雪了 你会回来吗,1,2025-11-23 08:08:20,0.4613834884395229
让我感到ex,湖南,😈😈😈,1,2025-11-23 08:06:23,0.5
lD惜念,山东,我好想你,1,2025-11-23 07:47:13,0.5
lD惜念,山东,到现在我才明白你不是开不起玩笑只是不想跟我玩了而已,1,2025-11-23 07:45:41,0.5545282011905366
极岛森林,四川,再等冬天 等到的是没有你的冬天,1,2025-11-23 05:03:02,0.3213385913288287
肚子隆起来咯,广东,我再等冬天，等一场雪把回忆覆盖。 再等冬天，看炉火熄成灰，你仍不回来。 再等冬天，风会替我把你名字喊遍。 再等冬天，我在原地，等一个不可能的归期。 再等冬天，让冷意冻住心口的余温。 再等冬天，我们的故事只剩霜雪作结。 再等冬天，把所有的等待熬成冰。 再等冬天，若你不出现，我就与过去和解。,1,2025-11-23 04:40:02,0.04930887680217344
就爱看bg,天津,天天开心,0,2025-11-23 15:46:43,0.8834014393042217
FreedomJustice38,山东,天天开心,0,2025-11-23 15:40:25,0.8834014393042217
玉言难止,江苏,我从没想过两年后的冬天竟然还是我们,0,2025-11-23 15:32:50,0.01171864345248641
永是zhy,广东,等一个人，直到一个人,0,2025-11-23 15:29:09,0.5716907567215581
